File,N.Sentences,N.words,N.syllables,Words.Per.Sentence,Syllables.Per.Word,Grade.Score
1601.txt,57,949,1539,16.649,1.622,10.039
1614.txt,57,574,892,10.07,1.554,6.675
1617.txt,53,705,1156,13.302,1.64,8.946
1642.txt,46,810,1417,17.609,1.749,11.92
1666.txt,58,603,1009,10.397,1.673,8.21
1671.txt,47,855,1372,18.191,1.605,10.44
1677.txt,50,951,1737,19.02,1.826,13.38
1679.txt,63,925,1702,14.683,1.84,11.848
1686.txt,57,804,1409,14.105,1.752,10.59
1687.txt,49,863,1528,17.612,1.771,12.171
1702.txt,47,421,640,8.957,1.52,5.842
1718.txt,59,767,1334,13.0,1.739,10.003
1743.txt,49,645,1042,13.163,1.616,8.607
1750.txt,40,395,559,9.875,1.415,4.96
1784.txt,37,323,464,8.73,1.437,4.766
1788.txt,63,703,1088,11.159,1.548,7.024
1826.txt,50,764,1184,15.28,1.55,8.656
1837.txt,39,719,1278,18.436,1.777,12.574
1846.txt,41,632,987,15.415,1.562,8.85
1852.txt,58,952,1553,16.414,1.631,10.061
1854.txt,59,648,1033,10.983,1.594,7.504
1862.txt,46,445,630,9.674,1.416,4.888
1886.txt,48,454,722,9.458,1.59,6.864
1896.txt,48,527,835,10.979,1.584,7.388
1904.txt,52,740,1094,14.231,1.478,7.405
1929.txt,53,733,1180,13.83,1.61,8.8
1950.txt,44,697,1135,15.841,1.628,9.803
1954.txt,41,772,1288,18.829,1.668,11.44
1966.txt,37,468,730,12.649,1.56,7.749
2029.txt,53,396,591,7.472,1.492,4.935
2045.txt,41,682,1225,16.634,1.796,12.092
2052.txt,31,441,761,14.226,1.726,10.32
2053.txt,32,357,560,11.156,1.569,7.271
2057.txt,35,640,1099,18.286,1.717,11.804
2076.txt,114,1943,3100,17.044,1.595,9.884
2097.txt,64,1261,1949,19.703,1.546,10.332
2104.txt,57,817,1364,14.333,1.67,9.7
2131.txt,50,616,961,12.32,1.56,7.624
2137.txt,60,602,850,10.033,1.412,4.984
2157.txt,57,716,1206,12.561,1.684,9.184
2182.txt,48,318,462,6.625,1.453,4.137
2184.txt,63,1141,1747,18.111,1.531,9.54
2190.txt,54,631,988,11.685,1.566,7.443
2192.txt,60,793,1273,13.217,1.605,8.507
2249.txt,66,615,911,9.318,1.481,5.523
2322.txt,60,774,1166,12.9,1.506,7.217
2327.txt,42,618,985,14.714,1.594,8.956
2332.txt,54,962,1666,17.815,1.732,11.793
2339.txt,45,404,592,8.978,1.465,5.202
2347.txt,67,670,1056,10.0,1.576,6.908
2355.txt,58,622,1012,10.724,1.627,7.791
2372.txt,51,519,786,10.176,1.514,6.249
2412.txt,64,855,1441,13.359,1.685,9.508
2441.txt,69,744,1165,10.783,1.566,7.092
2445.txt,29,448,734,15.448,1.638,9.768
2458.txt,64,962,1544,15.031,1.605,9.211
2462.txt,49,628,995,12.816,1.584,8.104
2473.txt,58,606,930,10.448,1.535,6.594
2499.txt,58,428,659,7.379,1.54,5.457
2516.txt,53,685,1155,12.925,1.686,9.347
2564.txt,92,1159,1942,12.598,1.676,9.095
2572.txt,48,562,845,11.708,1.504,6.718
2576.txt,51,804,1245,15.765,1.549,8.831
2580.txt,56,877,1312,15.661,1.496,8.171
2593.txt,52,573,885,11.019,1.545,6.933
